"dsc_cidade","populacao"
"Cedral (MA)","10693"
"Central do Maranhão (MA)","8740"
"Centro do Guilherme (MA)","13670"
"Centro Novo do Maranhão (MA)","21840"
"Chapadinha (MA)","80195"
"Cidelândia (MA)","14777"
"Codó (MA)","123116"
"Coelho Neto (MA)","49621"
"Colinas (MA)","41312"
"Conceição do Lago-Açu (MA)","16400"
"Coroatá (MA)","65544"
"Cururupu (MA)","32626"
"Davinópolis (MA)","12916"
"Dom Pedro (MA)","23372"
"Duque Bacelar (MA)","11401"
"Esperantinópolis (MA)","17104"
"Estreito (MA)","42527"
"Feira Nova do Maranhão (MA)","8484"
"Fernando Falcão (MA)","10460"
"Formosa da Serra Negra (MA)","19258"
"Fortaleza dos Nogueiras (MA)","12647"
"Fortuna (MA)","15567"
"Godofredo Viana (MA)","11963"
"Gonçalves Dias (MA)","17944"
"Governador Archer (MA)","10886"
"Governador Edison Lobão (MA)","18520"
"Governador Eugênio Barros (MA)","16882"
"Governador Luiz Rocha (MA)","7841"
"Governador Newton Bello (MA)","10151"
"Governador Nunes Freire (MA)","25539"
"Graça Aranha (MA)","6261"
"Grajaú (MA)","70065"
"Guimarães (MA)","11997"
"Humberto de Campos (MA)","28932"
"Icatu (MA)","27269"
"Igarapé do Meio (MA)","14324"
"Igarapé Grande (MA)","11387"
"Imperatriz (MA)","259337"
"Itaipava do Grajaú (MA)","16005"
"Itapecuru Mirim (MA)","68723"
"Itinga do Maranhão (MA)","26068"
"Jatobá (MA)","10310"
"Jenipapo dos Vieiras (MA)","17040"
"João Lisboa (MA)","23740"
"Joselândia (MA)","16198"
"Junco do Maranhão (MA)","4392"
"Lago da Pedra (MA)","50616"
"Lago do Junco (MA)","10869"
"Lago Verde (MA)","16314"
"Lagoa do Mato (MA)","11265"
"Lago dos Rodrigues (MA)","8857"
"Lagoa Grande do Maranhão (MA)","11464"
"Lajeado Novo (MA)","7602"
"Lima Campos (MA)","11918"
"Loreto (MA)","12214"
"Luís Domingues (MA)","6984"
"Magalhães de Almeida (MA)","20029"
"Maracaçumé (MA)","21586"
"Marajá do Sena (MA)","7775"
"Maranhãozinho (MA)","16511"
"Mata Roma (MA)","16977"
"Matinha (MA)","23482"
"Matões (MA)","33943"
"Matões do Norte (MA)","17033"
"Milagres do Maranhão (MA)","8483"
"Mirador (MA)","21031"
"Miranda do Norte (MA)","28754"
"Mirinzal (MA)","15011"
"Monção (MA)","33664"
"Montes Altos (MA)","9111"
"Morros (MA)","19572"
"Nina Rodrigues (MA)","14642"
"Nova Colinas (MA)","5427"
"Nova Iorque (MA)","4682"
"Nova Olinda do Maranhão (MA)","21080"
"Olho d'Água das Cunhãs (MA)","19561"
"Olinda Nova do Maranhão (MA)","14836"
"Paço do Lumiar (MA)","123747"
"Palmeirândia (MA)","19781"
"Paraibano (MA)","21479"
"Parnarama (MA)","35008"
"Passagem Franca (MA)","19137"
"Pastos Bons (MA)","19583"
"Paulino Neves (MA)","16166"
"Paulo Ramos (MA)","21066"
"Pedreiras (MA)","39191"
"Pedro do Rosário (MA)","25354"
"Penalva (MA)","38731"
"Peri Mirim (MA)","14345"
"Peritoró (MA)","23364"
"Pindaré-Mirim (MA)","33065"
"Pinheiro (MA)","83777"
"Pio XII (MA)","21379"
"Pirapemas (MA)","18720"
"Poção de Pedras (MA)","17595"
"Porto Franco (MA)","24092"
"Porto Rico do Maranhão (MA)","5955"
"Presidente Dutra (MA)","48036"
"Presidente Juscelino (MA)","12838"
"Presidente Médici (MA)","7070"
"Presidente Sarney (MA)","19069"
"Presidente Vargas (MA)","11261"
"Primeira Cruz (MA)","15431"
"Raposa (MA)","31177"
"Riachão (MA)","20334"
"Ribamar Fiquene (MA)","7825"
"Rosário (MA)","42994"
"Sambaíba (MA)","5679"
"Santa Filomena do Maranhão (MA)","7826"
"Santa Helena (MA)","42483"
"Santa Inês (MA)","89489"
"Santa Luzia (MA)","72887"
"Santa Luzia do Paruá (MA)","25371"
"Santa Quitéria do Maranhão (MA)","25764"
"Santa Rita (MA)","38298"
"Santana do Maranhão (MA)","13547"
"Santo Amaro do Maranhão (MA)","16034"
"Santo Antônio dos Lopes (MA)","14522"
"São Benedito do Rio Preto (MA)","18717"
"São Bento (MA)","45604"
"São Bernardo (MA)","28667"
"São Domingos do Azeitão (MA)","7420"
"São Domingos do Maranhão (MA)","34384"
"São Félix de Balsas (MA)","4562"
"São Francisco do Brejão (MA)","11941"
"São Francisco do Maranhão (MA)","12218"
"São João Batista (MA)","20701"
"São João do Carú (MA)","15787"
"São João do Paraíso (MA)","11193"
"São João do Soter (MA)","18645"
"São João dos Patos (MA)","25996"
"São José de Ribamar (MA)","179028"
"São José dos Basílios (MA)","7640"
"São Luís (MA)","1108975"
"São Luís Gonzaga do Maranhão (MA)","18727"
"São Mateus do Maranhão (MA)","41579"
"São Pedro da Água Branca (MA)","12735"
"São Pedro dos Crentes (MA)","4684"
"São Raimundo das Mangabeiras (MA)","18980"
"São Raimundo do Doca Bezerra (MA)","5131"
"São Roberto (MA)","6789"
"São Vicente Ferrer (MA)","22350"
"Satubinha (MA)","14096"
"Senador Alexandre Costa (MA)","11214"
"Senador La Rocque (MA)","14050"
"Serrano do Maranhão (MA)","10299"
"Sítio Novo (MA)","18160"
"Sucupira do Norte (MA)","10634"
"Sucupira do Riachão (MA)","5676"
"Tasso Fragoso (MA)","8582"
"Timbiras (MA)","29183"
"Timon (MA)","170222"
"Trizidela do Vale (MA)","22112"
"Tufilândia (MA)","5854"
"Tuntum (MA)","42040"
"Turiaçu (MA)","35709"
"Turilândia (MA)","25868"
"Tutóia (MA)","59398"
"Urbano Santos (MA)","33459"
"Vargem Grande (MA)","57168"
"Viana (MA)","52649"
"Vila Nova dos Martírios (MA)","13598"
"Vitória do Mearim (MA)","32861"
"Vitorino Freire (MA)","31522"
"Zé Doca (MA)","51956"
"Acauã (PI)","7102"
"Agricolândia (PI)","5131"
"Água Branca (PI)","17470"
"Alagoinha do Piauí (PI)","7665"
"Alegrete do Piauí (PI)","4918"
"Alto Longá (PI)","14339"
"Altos (PI)","40605"
